,support,itemsets
0,0.9117647058823529,frozenset({'Ya berGejala'})
1,0.6862745098039216,frozenset({'Keluarga Tidak DBD'})
2,0.6862745098039216,frozenset({'Tidak Pernah Ada Penderita'})
3,0.6372549019607843,frozenset({'Ya Pernah DBD'})
4,0.6372549019607843,frozenset({'Remaja akhir'})
5,0.6274509803921569,frozenset({'Normal'})
6,0.5784313725490197,frozenset({'pernhan Opname'})
7,0.49019607843137253,frozenset({'Laki-Laki'})
8,0.4803921568627451,frozenset({'DBD'})
9,0.4411764705882353,frozenset({'Tidak lokasi rumah normal'})
10,0.4019607843137255,frozenset({'Gaji2'})
11,0.38235294117647056,frozenset({'Tidak berkawat'})
12,0.3137254901960784,frozenset({'5 Penguni'})
13,0.22549019607843138,frozenset({'Pernah Vaksin'})
14,0.22549019607843138,frozenset({'Tipes'})
15,0.1568627450980392,frozenset({'Luas1'})
16,0.1568627450980392,frozenset({'2 Kamar'})
17,0.12745098039215685,frozenset({'Gowa'})
18,0.11764705882352941,frozenset({'Karyawan Swasta'})
19,0.7843137254901961,frozenset({'Makassar'})
20,0.7745098039215687,frozenset({'Tidak Pernah Vaksin'})
21,0.6176470588235294,frozenset({'Jendela/Ventilasi berkawat'})
22,0.3137254901960784,frozenset({'Keluarga Terkena DBD'})
23,0.28431372549019607,frozenset({'Sehat'})
24,0.1568627450980392,frozenset({'Makassar - Tamalate'})
25,0.13725490196078433,frozenset({'Gaji1'})
26,0.5588235294117647,frozenset({'Ya ada genangan/lokasi dempet'})
27,0.4215686274509804,frozenset({'Tidak Pernah Opname'})
28,0.39215686274509803,frozenset({'Tidak Pernah'})
29,0.3627450980392157,frozenset({'BelumPernah DBD'})
30,0.5098039215686274,frozenset({'Perempuan'})
31,0.3333333333333333,frozenset({'PNS'})
32,0.23529411764705882,frozenset({'Luas2'})
33,0.21568627450980393,frozenset({'4 Penguni'})
34,0.17647058823529413,frozenset({'Kurus'})
35,0.18627450980392157,frozenset({'Dewasa awal'})
36,0.13725490196078433,frozenset({'Kelebihan Berat Badan'})
37,0.4803921568627451,frozenset({'Luas3'})
38,0.35294117647058826,frozenset({'3 Kamar'})
39,0.3431372549019608,frozenset({'Wiraswasta'})
40,0.10784313725490197,frozenset({'3 Penguni'})
41,0.17647058823529413,frozenset({'6 Penguni'})
42,0.20588235294117646,frozenset({'Makassar - Rappocini'})
43,0.21568627450980393,frozenset({'4 Kamar'})
44,0.20588235294117646,frozenset({'Gaji4'})
45,0.12745098039215685,frozenset({'Luas4'})
46,0.17647058823529413,frozenset({'5 Kamar'})
47,0.2549019607843137,frozenset({'Gaji3'})
48,0.6274509803921569,"frozenset({'Keluarga Tidak DBD', 'Ya berGejala'})"
49,0.5784313725490197,"frozenset({'Makassar', 'Keluarga Tidak DBD'})"
50,0.5490196078431373,"frozenset({'Tidak Pernah Vaksin', 'Keluarga Tidak DBD'})"
51,0.5294117647058824,"frozenset({'Makassar', 'Keluarga Tidak DBD', 'Ya berGejala'})"
52,0.49019607843137253,"frozenset({'Tidak Pernah Vaksin', 'Keluarga Tidak DBD', 'Ya berGejala'})"
53,0.46078431372549017,"frozenset({'Makassar', 'Tidak Pernah Vaksin', 'Keluarga Tidak DBD'})"
54,0.4117647058823529,"frozenset({'Makassar', 'Tidak Pernah Vaksin', 'Keluarga Tidak DBD', 'Ya berGejala'})"
55,0.6862745098039216,"frozenset({'Tidak Pernah Ada Penderita', 'Keluarga Tidak DBD'})"
56,0.6274509803921569,"frozenset({'Tidak Pernah Ada Penderita', 'Ya berGejala'})"
57,0.5784313725490197,"frozenset({'Tidak Pernah Ada Penderita', 'Makassar'})"
58,0.5490196078431373,"frozenset({'Tidak Pernah Ada Penderita', 'Tidak Pernah Vaksin'})"
59,0.6274509803921569,"frozenset({'Tidak Pernah Ada Penderita', 'Keluarga Tidak DBD', 'Ya berGejala'})"
60,0.5784313725490197,"frozenset({'Tidak Pernah Ada Penderita', 'Makassar', 'Keluarga Tidak DBD'})"
61,0.5294117647058824,"frozenset({'Tidak Pernah Ada Penderita', 'Makassar', 'Ya berGejala'})"
62,0.5294117647058824,"frozenset({'Tidak Pernah Ada Penderita', 'Makassar', 'Keluarga Tidak DBD', 'Ya berGejala'})"
63,0.5490196078431373,"frozenset({'Tidak Pernah Ada Penderita', 'Tidak Pernah Vaksin', 'Keluarga Tidak DBD'})"
64,0.49019607843137253,"frozenset({'Tidak Pernah Ada Penderita', 'Tidak Pernah Vaksin', 'Ya berGejala'})"
65,0.46078431372549017,"frozenset({'Tidak Pernah Ada Penderita', 'Makassar', 'Tidak Pernah Vaksin'})"
66,0.49019607843137253,"frozenset({'Tidak Pernah Ada Penderita', 'Tidak Pernah Vaksin', 'Keluarga Tidak DBD', 'Ya berGejala'})"
67,0.46078431372549017,"frozenset({'Tidak Pernah Ada Penderita', 'Makassar', 'Tidak Pernah Vaksin', 'Keluarga Tidak DBD'})"
68,0.4117647058823529,"frozenset({'Tidak Pernah Ada Penderita', 'Makassar', 'Tidak Pernah Vaksin', 'Ya berGejala'})"
69,0.4117647058823529,"frozenset({'Tidak Pernah Vaksin', 'Ya berGejala', 'Keluarga Tidak DBD', 'Tidak Pernah Ada Penderita', 'Makassar'})"
